antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_len,consequents_len,antecedents_TF_motif,antecedents_dir,antecedents_time,consequents_TF_motif,consequents_dir,consequents_time,TF_peak_jaccard,peak_adj_lift
BHLHE22_neg_8,OLIG1_neg_8,0.03333333333333333,0.03333333333333333,5,1.0,30.0,0.03222222222222222,inf,1.0,1,1,BHLHE22,neg,8,OLIG1,neg,8,1.0,0.0
OLIG1_neg_8,BHLHE22_neg_8,0.03333333333333333,0.03333333333333333,5,1.0,30.0,0.03222222222222222,inf,1.0,1,1,OLIG1,neg,8,BHLHE22,neg,8,1.0,0.0
OLIG3_neg_8,OLIG2_neg_8,0.03333333333333333,0.03333333333333333,5,1.0,30.0,0.03222222222222222,inf,1.0,1,1,OLIG3,neg,8,OLIG2,neg,8,1.0,0.0
OLIG2_neg_8,OLIG3_neg_8,0.03333333333333333,0.03333333333333333,5,1.0,30.0,0.03222222222222222,inf,1.0,1,1,OLIG2,neg,8,OLIG3,neg,8,1.0,0.0
FOXO6_neg_7,FOXP3_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO6,neg,7,FOXP3,neg,7,1.0,0.0
FOXO4_neg_7,FOXI1_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO4,neg,7,FOXI1,neg,7,1.0,0.0
FOXD2_neg_7,FOXP3_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXD2,neg,7,FOXP3,neg,7,1.0,0.0
SHOX_neg_4,LMX1A_neg_4,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,SHOX,neg,4,LMX1A,neg,4,0.7142857142857143,7.142857142857142
LMX1A_neg_4,SHOX_neg_4,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,LMX1A,neg,4,SHOX,neg,4,0.7142857142857143,7.142857142857142
LMX1A_neg_4,LMX1B_neg_4,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,LMX1A,neg,4,LMX1B,neg,4,1.0,0.0
LMX1B_neg_4,LMX1A_neg_4,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,LMX1B,neg,4,LMX1A,neg,4,1.0,0.0
JDP2_pos_6,FOS_pos_6,0.03333333333333333,0.04,5,1.0,25.0,0.032,inf,0.993103448275862,1,1,JDP2,pos,6,FOS,pos,6,0.45454545454545453,13.636363636363635
FOXI1_neg_7,FOXP3_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXI1,neg,7,FOXP3,neg,7,1.0,0.0
FOXP3_neg_7,FOXI1_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXP3,neg,7,FOXI1,neg,7,1.0,0.0
FOXI1_neg_7,FOXO6_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXI1,neg,7,FOXO6,neg,7,1.0,0.0
FOXO6_neg_7,FOXI1_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO6,neg,7,FOXI1,neg,7,1.0,0.0
FOSL2_pos_6,FOS_pos_6,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOSL2,pos,6,FOS,pos,6,0.6666666666666666,8.333333333333334
FOXI1_neg_7,FOXO4_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXI1,neg,7,FOXO4,neg,7,1.0,0.0
JDP2_pos_6,FOSL2_pos_6,0.03333333333333333,0.04,5,1.0,25.0,0.032,inf,0.993103448275862,1,1,JDP2,pos,6,FOSL2,pos,6,0.35714285714285715,16.07142857142857
FOXD2_neg_7,FOXO6_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXD2,neg,7,FOXO6,neg,7,1.0,0.0
FOS_pos_6,FOSL2_pos_6,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOS,pos,6,FOSL2,pos,6,0.6666666666666666,8.333333333333334
LMX1B_neg_4,SHOX_neg_4,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,LMX1B,neg,4,SHOX,neg,4,0.7142857142857143,7.142857142857142
SHOX_neg_4,LMX1B_neg_4,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,SHOX,neg,4,LMX1B,neg,4,0.7142857142857143,7.142857142857142
FOSL2_pos_6,FOSL1_pos_6,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOSL2,pos,6,FOSL1,pos,6,0.8666666666666667,3.3333333333333326
JDP2_pos_6,FOSL1_pos_6,0.03333333333333333,0.04,5,1.0,25.0,0.032,inf,0.993103448275862,1,1,JDP2,pos,6,FOSL1,pos,6,0.35714285714285715,16.07142857142857
FOXP3_neg_7,FOXO6_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXP3,neg,7,FOXO6,neg,7,1.0,0.0
FOSL1_pos_6,FOSL2_pos_6,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOSL1,pos,6,FOSL2,pos,6,0.8666666666666667,3.3333333333333326
FOS_pos_6,FOSL1_pos_6,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOS,pos,6,FOSL1,pos,6,0.6666666666666666,8.333333333333334
FOXP3_neg_7,FOXD2_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXP3,neg,7,FOXD2,neg,7,1.0,0.0
FOSL1_pos_6,FOS_pos_6,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOSL1,pos,6,FOS,pos,6,0.6666666666666666,8.333333333333334
FOXP3_neg_7,FOXO4_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXP3,neg,7,FOXO4,neg,7,1.0,0.0
FOXO4_neg_7,FOXP3_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO4,neg,7,FOXP3,neg,7,1.0,0.0
FOXD2_neg_7,FOXO4_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXD2,neg,7,FOXO4,neg,7,1.0,0.0
FOXO4_neg_7,FOXD2_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO4,neg,7,FOXD2,neg,7,1.0,0.0
FOXO6_neg_7,FOXO4_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO6,neg,7,FOXO4,neg,7,1.0,0.0
FOXD2_neg_7,FOXI1_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXD2,neg,7,FOXI1,neg,7,1.0,0.0
FOXO4_neg_7,FOXO6_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO4,neg,7,FOXO6,neg,7,1.0,0.0
FOXO6_neg_7,FOXD2_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXO6,neg,7,FOXD2,neg,7,1.0,0.0
FOXI1_neg_7,FOXD2_neg_7,0.04,0.04,6,1.0,25.0,0.038400000000000004,inf,1.0000000000000002,1,1,FOXI1,neg,7,FOXD2,neg,7,1.0,0.0
FOXO4_neg_4,FOXI1_neg_4,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FOXO4,neg,4,FOXI1,neg,4,1.0,0.0
FOXO6_neg_4,FOXI1_neg_4,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FOXO6,neg,4,FOXI1,neg,4,1.0,0.0
ERG_pos_8,FLI1_pos_8,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,ERG,pos,8,FLI1,pos,8,0.7777777777777778,4.761904761904761
FLI1_pos_8,ERG_pos_8,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FLI1,pos,8,ERG,pos,8,0.7777777777777778,4.761904761904761
FOXP3_neg_4,FOXI1_neg_4,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FOXP3,neg,4,FOXI1,neg,4,1.0,0.0
FOXI1_neg_4,FOXP3_neg_4,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FOXI1,neg,4,FOXP3,neg,4,1.0,0.0
FOXO6_neg_4,FOXO4_neg_4,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FOXO6,neg,4,FOXO4,neg,4,1.0,0.0
FOXO4_neg_4,FOXD2_neg_4,0.04666666666666667,0.04666666666666667,7,1.0,21.428571428571427,0.04448888888888889,inf,1.0,1,1,FOXO4,neg,4,FOXD2,neg,4,1.0,0.0
