TF_motif,time,direction,gene,score,peak,distance
TFAP2B,0,pos,COL11A1,0.697216963,chr1-103108435-103108935,-189
TFAP2B,0,pos,GRIA4,0.950755082,chr11-105706097-105706597,96353
TFAP2B,0,pos,GUCY1A2,0.64526516,chr11-107018911-107019411,-637
TFAP2B,0,pos,CNTN1,1.30709545,chr12-40691632-40692132,-560
TFAP2B,0,pos,FLRT2,0.914567864,chr14-85583165-85583665,53271
TFAP2B,0,pos,MYO1D,0.983041475,chr17-32822477-32822977,54450
TFAP2B,0,pos,ANKRD30BL,1.666287513,chr2-132418847-132419347,-161128
TFAP2B,0,pos,CHL1,0.867126143,chr3-52442-52942,-143904
TFAP2B,0,pos,MAGI1,0.758946935,chr3-65964713-65965213,73871
TFAP2B,0,pos,MAGI1,1.484269417,chr3-66200672-66201172,-162088
TFAP2B,0,pos,FAM19A1,0.967173806,chr3-67869410-67869910,-134556
TFAP2B,0,pos,FAM19A1,1.114767508,chr3-68130293-68130793,126327
TFAP2B,0,pos,GAB1,1.023490534,chr4-143343965-143344465,7453
TFAP2B,0,pos,GAB1,0.690008608,chr4-143362328-143362828,25816
TFAP2B,0,pos,SLC1A3,0.793582145,chr5-36438870-36439370,-167235
TFAP2B,0,pos,SLC1A3,0.695454923,chr5-36717148-36717648,111043
TFAP2B,0,pos,CREB5,0.862270061,chr7-28409778-28410278,110707
TFAP2B,0,pos,GLI3,0.677133708,chr7-42152751-42153251,84869
TFAP2B,0,pos,GLI3,0.720775074,chr7-42232175-42232675,5445
TFAP2B,0,pos,EGFR,1.119199086,chr7-55044001-55044501,25230
TFAP2B,0,pos,NCALD,0.706667887,chr8-102063877-102064377,60780
TFAP2B,0,pos,NCALD,0.96298018,chr8-102124321-102124821,336
TFAP2B,0,pos,KIAA1456,1.338513026,chr8-12871072-12871572,-74320
TFAP2B,0,pos,CHD7,0.722421415,chr8-60713854-60714354,35326
NFYA,0,pos,COL11A1,0.697216963,chr1-103108435-103108935,-189
NFYA,0,pos,ACTN2,1.530231979,chr1-236706149-236706649,19945
NFYA,0,pos,PLCE1,0.56293425,chr10-93872653-93873153,-157909
NFYA,0,pos,GRIA4,1.684215594,chr11-105718604-105719104,108860
NFYA,0,pos,APOLD1,0.699554448,chr12-12737050-12737550,11383
