,TF_motif,time,direction,gene,score,peak,distance
0,PRDM1,0,pos,COL11A1,1.25050231942656,chr1-103106229-103106729,2017.0
1,PRDM1,0,pos,ACTN2,1.95311959233008,chr1-236706149-236706649,19945.0
2,PRDM1,0,pos,CNTN1,1.60012621739959,chr12-40670450-40670950,-21742.0
3,PRDM1,0,pos,R3HDM1,1.62880533859507,chr2-135530082-135530582,-1123.0
4,PRDM1,0,pos,ARPP21,0.86730722676066,chr3-35744261-35744761,105566.0
5,PRDM1,0,pos,CHL1,1.10216770544714,chr3-52442-52942,-143904.0
6,PRDM1,0,pos,MAGI1,1.13245917449664,chr3-65964713-65965213,73871.0
7,PRDM1,0,pos,GAB1,1.09859060085059,chr4-143362328-143362828,25816.0
8,PRDM1,0,pos,LIMCH1,1.339905904096,chr4-41281014-41281514,-78343.0
9,PRDM1,0,pos,SLC1A3,1.01336174749008,chr5-36482767-36483267,-123338.0
10,PRDM1,0,pos,SLC1A3,2.11386175402903,chr5-36535849-36536349,-70256.0
11,PRDM1,0,pos,SLC1A3,1.3647239932147,chr5-36569448-36569948,-36657.0
12,PRDM1,0,pos,SLC1A3,0.87518886829368,chr5-36590549-36591049,-15556.0
13,PRDM1,0,pos,SLC1A3,1.26491522654185,chr5-36606237-36606737,132.0
14,PRDM1,0,pos,IQGAP2,0.822545623605132,chr5-76256202-76256702,-146797.0
15,PRDM1,0,pos,CREB5,1.31625364639665,chr7-28465631-28466131,166560.0
16,PRDM1,0,pos,GLI3,0.754453402939964,chr7-42073911-42074411,163709.0
17,PRDM1,0,pos,EGFR,1.5688248606101,chr7-55044001-55044501,25230.0
18,PRDM1,0,pos,NCALD,1.58702052969026,chr8-101967656-101968156,157001.0
19,MLXIPL,0,pos,CDH13,0.815965184455421,chr16-82716460-82716960,89907.0
20,MLXIPL,0,pos,ARPP21,0.86730722676066,chr3-35744261-35744761,105566.0
21,MLXIPL,0,pos,SLC1A3,1.15477450870529,chr5-36662203-36662703,56098.0
22,MLXIPL,0,pos,SLC1A3,1.386112520627,chr5-36703226-36703726,97121.0
23,MLXIPL,0,pos,GLI3,1.19170642282107,chr7-42152223-42152723,85397.0
24,MLXIPL,0,pos,EGFR,1.5688248606101,chr7-55044001-55044501,25230.0
25,MLXIPL,0,pos,NCALD,0.974481287517315,chr8-101949662-101950162,174995.0
26,YY1,0,pos,COL11A1,1.52682486802909,chr1-103110668-103111168,-2422.0
27,YY1,0,pos,COL11A1,1.28895189398109,chr1-103180582-103181082,-72336.0
28,YY1,0,pos,ATP2B1,3.89100059076731,chr12-89901347-89901847,-192297.0
29,YY1,0,pos,MYO1D,1.83437093555424,chr17-32822477-32822977,54450.0
30,YY1,0,pos,EPHA4,1.30713849520335,chr2-221577966-221578466,-4014.0
31,YY1,0,pos,CHL1,1.23999635659564,chr3-107208-107708,-89138.0
32,YY1,0,pos,IQCJ-SCHIP1,1.06492433781136,chr3-159030054-159030554,68069.0
33,YY1,0,pos,ARPP21,0.644388034046732,chr3-35733281-35733781,94586.0
34,YY1,0,pos,CHL1,1.10216770544714,chr3-52442-52942,-143904.0
35,YY1,0,pos,FAM19A1,1.46978044014144,chr3-68196554-68197054,192588.0
36,YY1,0,pos,GAB1,1.62954065869785,chr4-143343965-143344465,7453.0
37,YY1,0,pos,LIMCH1,1.339905904096,chr4-41281014-41281514,-78343.0
38,YY1,0,pos,LIMCH1,1.40476417633119,chr4-41427851-41428351,68494.0
39,YY1,0,pos,LIMCH1,1.01654016644951,chr4-41476306-41476806,116949.0
40,YY1,0,pos,LIMCH1,1.55460741587788,chr4-41509578-41510078,150221.0
41,YY1,0,pos,FBXL7,1.23774733292664,chr5-15543944-15544444,43998.0
42,YY1,0,pos,SLC1A3,1.18036218371866,chr5-36438870-36439370,-167235.0
43,YY1,0,pos,SLC1A3,1.3647239932147,chr5-36569448-36569948,-36657.0
44,YY1,0,pos,GLI3,1.04880142194948,chr7-42065843-42066343,171777.0
45,YY1,0,pos,NCALD,1.47562517757549,chr8-101968809-101969309,155848.0
46,YY1,0,pos,PAG1,0.667289825668518,chr8-81084996-81085496,26822.0
47,NFYA,0,pos,ACTN2,1.95311959233008,chr1-236706149-236706649,19945.0
48,NFYA,0,pos,PLCE1,0.830884363973574,chr10-93872653-93873153,-157909.0
49,NFYA,0,pos,GRIA4,1.70636099913714,chr11-105718604-105719104,108860.0
50,NFYA,0,pos,APOLD1,0.869496061245859,chr12-12737050-12737550,11383.0
51,NFYA,0,pos,MYO1D,2.41718340245584,chr17-32698327-32698827,178600.0
52,NFYA,0,pos,IQCJ-SCHIP1,1.06492433781136,chr3-159030054-159030554,68069.0
